from_location_id,to_location_id,shared_border_km,adjacency_type
loc_830018fffffffff_989df29403,loc_83001cfffffffff_f4875f2b42,12.728029,land
loc_830018fffffffff_ea49c42441,loc_83001cfffffffff_7a3ed58bbc,18.548787,land
loc_83001afffffffff_10bec7333c,loc_83001efffffffff_a7971ce01d,7.282528,land
loc_83001afffffffff_1b95ff9971,loc_8300a9fffffffff_68fdac16aa,19.722130,land
loc_83001afffffffff_32c6fc2684,loc_8300f4fffffffff_37bb2fed05,19.696278,land
loc_83001afffffffff_37cfddd605,loc_8300f4fffffffff_e5d9bac26c,13.118861,land
loc_83001afffffffff_4b3e01fec7,loc_83001bfffffffff_72bf4296da,10.002741,land
loc_83001afffffffff_4b3e01fec7,loc_83001bfffffffff_bad8899ed6,17.566119,land
loc_83001afffffffff_4f8f70e82a,loc_83001efffffffff_5eabeb4456,14.520295,land
loc_83001afffffffff_4f8f70e82a,loc_8300adfffffffff_1c659a2bcf,18.773129,land
loc_83001afffffffff_55bcf7ac69,loc_83001bfffffffff_8ceab2d347,15.727772,land
loc_83001afffffffff_55bcf7ac69,loc_8300f4fffffffff_e22cecb07c,4.497982,land
loc_83001afffffffff_798593e342,loc_83001efffffffff_1361b51bf2,17.239833,land
loc_83001afffffffff_828d23f3d6,loc_8300adfffffffff_e8029cdfc0,22.314630,land
loc_83001afffffffff_9f956b3cbb,loc_83001efffffffff_61e0ad7816,5.692702,land
loc_83001afffffffff_b1f6e5eaa2,loc_8300f4fffffffff_4b6d95e1cf,3.740437,land
loc_83001bfffffffff_7d94d9fbc7,loc_8300f4fffffffff_d6a2d2a567,2.882727,land
loc_83001bfffffffff_8ceab2d347,loc_8300f4fffffffff_e22cecb07c,3.045659,land
loc_83001bfffffffff_f32f50326f,loc_8300f4fffffffff_dd4b6eda0b,6.800192,land
loc_83001cfffffffff_f4875f2b42,loc_83001dfffffffff_985462ebd4,3.965236,land
loc_83001cfffffffff_f4875f2b42,loc_83001dfffffffff_ff2d795849,26.795883,land
loc_83001cfffffffff_f5b5c7ff84,loc_83001efffffffff_6f456628fe,5.281005,land
loc_83001efffffffff_5eabeb4456,loc_8300adfffffffff_1c659a2bcf,4.473467,land
loc_830021fffffffff_1a90242c87,loc_830152fffffffff_2d85d56f84,21.395253,land
loc_830021fffffffff_4464aecd35,loc_83002cfffffffff_65fc9249f6,7.779447,land
loc_830025fffffffff_2617d51197,loc_830152fffffffff_2d85d56f84,3.909052,land
loc_830025fffffffff_4947ba0123,loc_83010bfffffffff_2593371564,2.415109,land
loc_830029fffffffff_2ea351bcf8,loc_83002bfffffffff_9fb403a8f7,1.198722,land
loc_830029fffffffff_2ea351bcf8,loc_8400283ffffffff_92812fa351,57.728830,land
loc_830029fffffffff_2ea351bcf8,loc_84002d7ffffffff_28dd67cbc2,12.783706,land
loc_830029fffffffff_b6d335f2d3,loc_83015afffffffff_a3d3447a26,1.767596,land
loc_83002afffffffff_8292ba9209,loc_83002bfffffffff_9b161bf603,22.372770,land
loc_83002afffffffff_8292ba9209,loc_83002efffffffff_b8c05bd3b6,0.059986,land
loc_83002afffffffff_8292ba9209,loc_8400285ffffffff_a1b663ae3d,36.730845,land
loc_83002bfffffffff_9b161bf603,loc_8400287ffffffff_0f3100dd44,33.462120,land
loc_83002bfffffffff_9fb403a8f7,loc_8400283ffffffff_92812fa351,17.386387,land
