from_province_id,to_province_id
prv_0008662d5d0597c0f24e,prv_be10374ab26a1e2dd8f9
prv_0008662d5d0597c0f24e,prv_c95acc853abe1056d2ba
prv_0008662d5d0597c0f24e,prv_cdd238f706de968770b9
prv_0008662d5d0597c0f24e,prv_d38b6b81b8e35c5e2680
prv_000e0fce2ffeb99a3dc7,prv_12f5f372e832ef0aa456
prv_000e0fce2ffeb99a3dc7,prv_af7ddf610c4aa87451de
prv_000e4472043eb6f52b33,prv_3e3ab7613cae8d6c314e
prv_0011a3cab1d3edeca6ce,prv_51d182a1440d70f30c1f
prv_0011a3cab1d3edeca6ce,prv_73f4501f4e9f45e57fa5
prv_0011a3cab1d3edeca6ce,prv_7dde49b02fafa647d6ee
prv_0011a3cab1d3edeca6ce,prv_a140e2fd7a7a7272afdd
prv_0011a3cab1d3edeca6ce,prv_af169ae438cff784e5a0
prv_0011a3cab1d3edeca6ce,prv_dc8f2854a7b78a77350a
prv_00162c1a1d3c718894b9,prv_1dd62b107eb80c5c7e13
prv_00162c1a1d3c718894b9,prv_3196b0de2a01decaf4c7
prv_0016a8264b882b64d5c9,prv_a22043d83982c92bb83b
prv_0016a8264b882b64d5c9,prv_d77a0c4e8679366826b9
prv_0016a8264b882b64d5c9,prv_f394bf2936175704d0ec
prv_0016c40557784d3e6764,prv_2b3b26dc404c8e382a1f
prv_0016c40557784d3e6764,prv_6767f484cb261291e32b
prv_0016c40557784d3e6764,prv_830eb3a864d92d125d76
prv_0016c40557784d3e6764,prv_84e800b2f328fe43139b
prv_0016c40557784d3e6764,prv_cbaea97ad355807b7e06
prv_00251458920171088758,prv_3da103093e8fb7436ec0
prv_00251458920171088758,prv_537ef40ba2807d3ec7a4
prv_00251458920171088758,prv_ea0862e3de0b4bb9a666
prv_00251458920171088758,prv_fcebf023541bffc78da1
prv_0025709d787cac99ebc4,prv_23037cfe78d841469b6f
prv_0025709d787cac99ebc4,prv_3219940afd817573a550
prv_0025709d787cac99ebc4,prv_c22545590a15fb50d0c6
prv_0025709d787cac99ebc4,prv_dfaac864707687d40126
prv_0030d954bb3fcc5d7293,prv_10f5fee64246301a9e3d
prv_0030d954bb3fcc5d7293,prv_141b78e416005fe15d9f
prv_0030d954bb3fcc5d7293,prv_6761921562e51dd04b83
prv_0030d954bb3fcc5d7293,prv_7390ec8f1ad5f2db2247
prv_0030d954bb3fcc5d7293,prv_9e47a570296d13f3941b
prv_0030d954bb3fcc5d7293,prv_b3ffe91fba2d196ff791
prv_0038148c98af0d54f09a,prv_65d2dbe23541d1dc87e4
prv_0038148c98af0d54f09a,prv_dbd0b5059ce99fdbeb9e
prv_003c25d2969d8a7e972d,prv_0d862a0c0997e752c5f3
prv_003c25d2969d8a7e972d,prv_5888fff4fc68e005dd2d
prv_003c25d2969d8a7e972d,prv_5f3d351a4e1481b7f103
prv_003c25d2969d8a7e972d,prv_6b6ff5911e5563c60e27
prv_003c25d2969d8a7e972d,prv_805e59b010be5385c4db
prv_003c25d2969d8a7e972d,prv_bcfbaa972298bcb81cfe
prv_003c776ed8ec42474883,prv_dbc5605028cbf717bf10
prv_0041b4812e7819100b3a,prv_00ac1df83f20a9ac5c7e
prv_0041b4812e7819100b3a,prv_6534469c05d8504a8792
prv_0041b4812e7819100b3a,prv_87576d7822036bac2cda
prv_0041b4812e7819100b3a,prv_8f674e16873199e63259
prv_0041b4812e7819100b3a,prv_bd93fa641cf2243e4903
prv_0042081248ca7ca08510,prv_0a296403a2985ec5c407
prv_0042081248ca7ca08510,prv_2381f0e9cccb94b53997
prv_0042081248ca7ca08510,prv_2781cf291dd14e832928
prv_0042081248ca7ca08510,prv_76b343b56094d44e41e3
prv_0042081248ca7ca08510,prv_85491eeed992f719fbc8
prv_0042081248ca7ca08510,prv_a1877c6c4bdf3156c6be
prv_00434059817c28acbb82,prv_02e7ebae7f07bf6c5668
prv_00434059817c28acbb82,prv_0d1684460993920d6b89
prv_00434059817c28acbb82,prv_6ae566068543f3c8a480
prv_00434059817c28acbb82,prv_d688f064863caa415157
prv_00434059817c28acbb82,prv_e672d7eb6f13ac6d3b05
prv_0047e36e2bcc7d95909b,prv_28fe6694816d44b4f94d
prv_0047e36e2bcc7d95909b,prv_51362c795a3ff06e4af6
prv_0047e36e2bcc7d95909b,prv_6543790fcd72d6793a43
prv_0047e36e2bcc7d95909b,prv_8ed0a48039ac6d817971
prv_0047e36e2bcc7d95909b,prv_c58e854644d64421ef6c
prv_0047e36e2bcc7d95909b,prv_ef2bc5d996249f26ce7a
prv_004e69830231efe1d94b,prv_2469330965d40618a8ea
prv_004e69830231efe1d94b,prv_4694e3ad99f5917d17b7
prv_004e69830231efe1d94b,prv_8b77a540b43ca6f0d7cb
prv_004e69830231efe1d94b,prv_c36bc9ab5765a74e7ce4
prv_004e69830231efe1d94b,prv_c504762c7477c1f15727
prv_0052f044994d7639ab76,prv_2bb8a0e4030bd09e71f5
prv_0052f044994d7639ab76,prv_4e4d58023c5c42b594ff
prv_0052f044994d7639ab76,prv_6d6e0ac90eea37d1c486
prv_0052f044994d7639ab76,prv_7aafc8fc2050c65800d9
prv_0052f044994d7639ab76,prv_aedc9fa09f27fa7c8a42
prv_0052f044994d7639ab76,prv_fc96d593a3139d0aed5a
prv_005a0f02fb4ce4ebe874,prv_2d96de6e0dfd744b65b9
prv_005a0f02fb4ce4ebe874,prv_394eee7116a8ac09d471
prv_005a0f02fb4ce4ebe874,prv_4cd0e45903241012707f
prv_005a0f02fb4ce4ebe874,prv_5f855ee900beee48a1b2
prv_005a0f02fb4ce4ebe874,prv_9ebb4e1f89c35a2a73cf
prv_005a0f02fb4ce4ebe874,prv_bf0ffda75229028c7590
prv_005a0f02fb4ce4ebe874,prv_dd54bfb41bc588ed1555
prv_005a0f02fb4ce4ebe874,prv_f4fca18c4844410cc237
prv_005a0f02fb4ce4ebe874,prv_f6a36a23538370eb9e62
prv_0066a1bd15d4eb4b3869,prv_4326507e006e0dffba72
prv_0066a1bd15d4eb4b3869,prv_448120931b59ec4ff18f
prv_0066a1bd15d4eb4b3869,prv_8269fb4892aae68bf215
prv_0066a1bd15d4eb4b3869,prv_9000a3cf7ade0f36c401
prv_0066a1bd15d4eb4b3869,prv_c32403f3dc9d5382d5a9
prv_0066a1bd15d4eb4b3869,prv_d039418f34f8e061e79d
prv_006b217f6ce4f65ceee3,prv_20b0dcecc5ba420bb903
prv_006b217f6ce4f65ceee3,prv_22dc70644e0e434bf9fb
prv_006b217f6ce4f65ceee3,prv_2d96de6e0dfd744b65b9
prv_006b217f6ce4f65ceee3,prv_77dc0a93928576ca194a
prv_006b217f6ce4f65ceee3,prv_a87d5b334137dfca5cc3
prv_006b217f6ce4f65ceee3,prv_cb31815399a666ed6029
prv_0073ae4e5da1c5284754,prv_2b562159e25e1d1840d9
prv_0073ae4e5da1c5284754,prv_2e7b2de43cd2b89c238b
prv_0073ae4e5da1c5284754,prv_3a04bbf4867739a57aa4
prv_0073ae4e5da1c5284754,prv_ae7db909621f16f5bfa1
prv_0073ae4e5da1c5284754,prv_ae87cc7c29d15797c874
prv_007ae5318f8def025ce6,prv_16d7ad4f8c9ee49c6cbd
prv_007ae5318f8def025ce6,prv_62fb7ca86d4a70bcf721
